L1fli-ID1,intergenic,,NA,,over10k
L1fli-ID2,intergenic,,NA,,over10k
L1fli-ID3,intergenic,,Nras-ps2(ENSMUSG00000103709),,flanking: <{ ENSMUSG00000103709 } 1019 [ ID3 ]>
L1fli-ID4,INTRAGENIC,Sntg1(ENSMUSG00000025909),Gm37629(ENSMUSG00000102316),INSIDE: <{ ENSMUSG00000025909 814669 [ ID4 5820 ]> 117915 },flanking: [ ID4 ]> 9103 <{ ENSMUSG00000102316 }
L1fli-ID5,intergenic,,NA,,over10k
L1fli-ID6,intergenic,,NA,,over10k
L1fli-ID7,intergenic,,NA,,over10k
L1fli-ID8,intergenic,,NA,,over10k
L1fli-ID9,intergenic,,NA,,over10k
L1fli-ID10,INTRAGENIC,Pkhd1(ENSMUSG00000043760),Gm24162(ENSMUSG00000070175);Gm15795(ENSMUSG00000090142),INSIDE: <{ ENSMUSG00000043760 375843 [ ID10 5862 ]> 178581 },flanking: [ ID10 ]> 5327 <{ ENSMUSG00000070175 };flanking: [ ID10 ]> 4774 <{ ENSMUSG00000090142 }
L1fli-ID11,INTRAGENIC,Pkhd1(ENSMUSG00000043760),,INSIDE: <{ ENSMUSG00000043760 429981 [ ID11 5820 ]> 124485 },
L1fli-ID12,INTRAGENIC,Pkhd1(ENSMUSG00000043760),,INSIDE: <{ ENSMUSG00000043760 517443 [ ID12 5820 ]> 37023 },
L1fli-ID13,INTRAGENIC,Smap1(ENSMUSG00000026155),,INSIDE: <{ ENSMUSG00000026155 40965 [ ID13 5820 ]> 30687 },
L1fli-ID14,INTRAGENIC,Col19a1(ENSMUSG00000026141),,INSIDE: <{ ENSMUSG00000026141 235172 [ ID14 5820 ]> 84591 },
L1fli-ID15,INTRAGENIC,Adgrb3(ENSMUSG00000033569),,INSIDE: <{ ENSMUSG00000033569 53099 [ ID15 5862 ]> 703271 },
L1fli-ID16,INTRAGENIC,Adgrb3(ENSMUSG00000033569),,INSIDE: <{ ENSMUSG00000033569 523907 [ ID16 5862 ]> 232463 },
L1fli-ID17,INTRAGENIC,Adgrb3(ENSMUSG00000033569),Gm38260(ENSMUSG00000102250),INSIDE: <{ ENSMUSG00000033569 595942 [ ID17 5862 ]> 160428 },flanking: [ ID17 ]> 2965 <{ ENSMUSG00000102250 }
L1fli-ID18,intergenic,,NA,,over10k
L1fli-ID19,intergenic,,NA,,over10k
L1fli-ID20,intergenic,,NA,,over10k
L1fli-ID21,intergenic,,NA,,over10k
L1fli-ID22,INTRAGENIC,Phf3(ENSMUSG00000048874),Gm37906(ENSMUSG00000104315),INSIDE: <{ ENSMUSG00000048874 51716 [ ID22 5868 ]> 13999 },flanking: [ ID22 ]> 5581 <{ ENSMUSG00000104315 }
L1fli-ID23,intergenic,,Khdrbs2(ENSMUSG00000026058),,flanking: { ENSMUSG00000026058 }> 7619 [ ID23 ]>
L1fli-ID24,intergenic,,NA,,over10k
L1fli-ID25,intergenic,,Gm23453(ENSMUSG00000065260),,flanking: [ ID25 ]> 7874 { ENSMUSG00000065260 }>
L1fli-ID26,intergenic,,NA,,over10k
L1fli-ID27,intergenic,,NA,,over10k
L1fli-ID28,INTRAGENIC,Gm28140(ENSMUSG00000100180),,INSIDE: <{ ENSMUSG00000100180 10566 [ ID28 5862 ]> 14920 },
L1fli-ID29,intergenic,,NA,,over10k
L1fli-ID30,intergenic,,NA,,over10k
L1fli-ID31,intergenic,,NA,,over10k
L1fli-ID32,INTRAGENIC,Dnah7c(ENSMUSG00000101337),,INSIDE: { ENSMUSG00000101337 158124 [ ID32 5862 ]> 217899 }>,
L1fli-ID33,intergenic,,NA,,over10k
L1fli-ID34,intergenic,,NA,,over10k
L1fli-ID35,intergenic,,NA,,over10k
L1fli-ID36,intergenic,,NA,,over10k
L1fli-ID37,intergenic,,NA,,over10k
L1fli-ID38,INTRAGENIC,1700019D03Rik(ENSMUSG00000043629),,INSIDE: <{ ENSMUSG00000043629 18195 [ ID38 5862 ]> 73799 },
L1fli-ID39,INTRAGENIC,Hecw2(ENSMUSG00000042807),,INSIDE: <{ ENSMUSG00000042807 219666 [ ID39 5862 ]> 162765 },
L1fli-ID40,intergenic,,Gtf3c3(ENSMUSG00000041303),,flanking: [ ID40 ]> 2312 <{ ENSMUSG00000041303 }
L1fli-ID41,intergenic,,NA,,over10k
L1fli-ID42,INTRAGENIC,Nbeal1(ENSMUSG00000073664),,INSIDE: { ENSMUSG00000073664 140259 [ ID42 5820 ]> 11651 }>,
L1fli-ID43,intergenic,,Eif4a-ps4(ENSMUSG00000101188);Gm11577(ENSMUSG00000084151),,flanking: [ ID43 ]> 9918 { ENSMUSG00000101188 }>;flanking: [ ID43 ]> 6858 { ENSMUSG00000084151 }>
L1fli-ID44,intergenic,,NA,,over10k
L1fli-ID45,intergenic,,NA,,over10k
L1fli-ID46,INTRAGENIC,Gm38012(ENSMUSG00000104402);Pard3b(ENSMUSG00000052062),,COVERED: [ ID46 5767 { ENSMUSG00000104402 53 ]> 2976 }>;INSIDE: { ENSMUSG00000052062 32658 [ ID46 5820 ]> 964983 }>,
L1fli-ID47,INTRAGENIC,Pard3b(ENSMUSG00000052062),,INSIDE: { ENSMUSG00000052062 657611 [ ID47 5862 ]> 339988 }>,
L1fli-ID48,intergenic,,NA,,over10k
L1fli-ID49,intergenic,,Kif22-ps(ENSMUSG00000082473),,flanking: { ENSMUSG00000082473 }> 716 [ ID49 ]>
L1fli-ID50,INTRAGENIC,Erbb4(ENSMUSG00000062209),,INSIDE: <{ ENSMUSG00000062209 236448 [ ID50 5820 ]> 833606 },
L1fli-ID51,INTRAGENIC,Erbb4(ENSMUSG00000062209),Gm37735(ENSMUSG00000104508),INSIDE: <{ ENSMUSG00000062209 593447 [ ID51 5862 ]> 476565 },flanking: [ ID51 ]> 7929 <{ ENSMUSG00000104508 }
L1fli-ID52,intergenic,,NA,,over10k
L1fli-ID53,INTRAGENIC,Abca12(ENSMUSG00000050296),,INSIDE: <{ ENSMUSG00000050296 8616 [ ID53 5862 ]> 158157 },
L1fli-ID54,intergenic,,NA,,over10k
L1fli-ID55,intergenic,,NA,,over10k
L1fli-ID56,INTRAGENIC,Gm29069(ENSMUSG00000100827),,INSIDE: { ENSMUSG00000100827 39856 [ ID56 5862 ]> 62013 }>,
L1fli-ID57,intergenic,,NA,,over10k
L1fli-ID58,intergenic,,NA,,over10k
L1fli-ID59,intergenic,,NA,,over10k
L1fli-ID60,INTRAGENIC,4933436I20Rik(ENSMUSG00000100580),,INSIDE: <{ ENSMUSG00000100580 160400 [ ID60 5862 ]> 85833 },
L1fli-ID61,INTRAGENIC,Pid1(ENSMUSG00000045658),Gm37058(ENSMUSG00000102750),INSIDE: <{ ENSMUSG00000045658 85948 [ ID61 5820 ]> 236117 },flanking: [ ID61 ]> 4803 <{ ENSMUSG00000102750 }
L1fli-ID62,INTRAGENIC,Pid1(ENSMUSG00000045658),,INSIDE: <{ ENSMUSG00000045658 228589 [ ID62 5820 ]> 93476 },
L1fli-ID63,INTRAGENIC,Dner(ENSMUSG00000036766),,INSIDE: <{ ENSMUSG00000036766 82532 [ ID63 5820 ]> 238031 },
L1fli-ID64,intergenic,,Dner(ENSMUSG00000036766);Mir5126(ENSMUSG00000093254),,flanking: <{ ENSMUSG00000036766 } 5130 [ ID64 ]>;flanking: { ENSMUSG00000093254 }> 5436 [ ID64 ]>
L1fli-ID65,intergenic,,NA,,over10k
L1fli-ID66,intergenic,,NA,,over10k
L1fli-ID67,intergenic,,NA,,over10k
L1fli-ID68,intergenic,,NA,,over10k
L1fli-ID69,intergenic,,NA,,over10k
L1fli-ID70,intergenic,,NA,,over10k
L1fli-ID71,INTRAGENIC,Pign(ENSMUSG00000056536);Gm28403(ENSMUSG00000101214),Gm22426(ENSMUSG00000076999);Gm28404(ENSMUSG00000100672);Gm20302(ENSMUSG00000101219),INSIDE: <{ ENSMUSG00000056536 50107 [ ID71 5862 ]> 89287 };COVERED: <{ ENSMUSG00000101214 186269 [ ID71 611 } 5251 ]>,flanking: [ ID71 ]> 296 { ENSMUSG00000076999 }>;flanking: <{ ENSMUSG00000100672 } 3950 [ ID71 ]>;flanking: [ ID71 ]> 146 { ENSMUSG00000101219 }>
L1fli-ID72,intergenic,,NA,,over10k
L1fli-ID73,intergenic,,NA,,over10k
L1fli-ID74,intergenic,,NA,,over10k
L1fli-ID75,intergenic,,NA,,over10k
L1fli-ID76,intergenic,,NA,,over10k
L1fli-ID77,INTRAGENIC,Ptpn4(ENSMUSG00000026384),,INSIDE: <{ ENSMUSG00000026384 92462 [ ID77 5862 ]> 86823 },
L1fli-ID78,intergenic,,NA,,over10k
L1fli-ID79,intergenic,,NA,,over10k
L1fli-ID80,intergenic,,NA,,over10k
L1fli-ID81,INTRAGENIC,Dpp10(ENSMUSG00000036815),,INSIDE: <{ ENSMUSG00000036815 536129 [ ID81 5862 ]> 982578 },
L1fli-ID82,INTRAGENIC,Dpp10(ENSMUSG00000036815),,INSIDE: <{ ENSMUSG00000036815 820397 [ ID82 5862 ]> 698310 },
L1fli-ID83,INTRAGENIC,Dpp10(ENSMUSG00000036815),,INSIDE: <{ ENSMUSG00000036815 874819 [ ID83 5862 ]> 643888 },
L1fli-ID84,intergenic,,NA,,over10k
L1fli-ID85,INTRAGENIC,Nckap5(ENSMUSG00000049690),,INSIDE: <{ ENSMUSG00000049690 878841 [ ID85 5862 ]> 32477 },
L1fli-ID86,INTRAGENIC,Gm26686(ENSMUSG00000097283),,COVERED: <{ ENSMUSG00000097283 3212 [ ID86 611 } 5251 ]>,
L1fli-ID87,INTRAGENIC,Gm16083(ENSMUSG00000085526),,INSIDE: { ENSMUSG00000085526 29266 [ ID87 5862 ]> 59372 }>,
L1fli-ID88,intergenic,,Ctse(ENSMUSG00000004552);Rab7b(ENSMUSG00000052688),,flanking: { ENSMUSG00000004552 }> 5611 [ ID88 ]>;flanking: [ ID88 ]> 1716 { ENSMUSG00000052688 }>
L1fli-ID89,INTRAGENIC,Gm4788(ENSMUSG00000070594),,INSIDE: <{ ENSMUSG00000070594 19700 [ ID89 5862 ]> 58059 },
L1fli-ID90,INTRAGENIC,Gm16332(ENSMUSG00000089991),,INSIDE: <{ ENSMUSG00000089991 45170 [ ID90 5862 ]> 22489 },
L1fli-ID91,intergenic,,NA,,over10k
L1fli-ID92,intergenic,,NA,,over10k
L1fli-ID93,intergenic,,NA,,over10k
L1fli-ID94,intergenic,,NA,,over10k
L1fli-ID95,intergenic,,NA,,over10k
L1fli-ID96,INTRAGENIC,Gm29514(ENSMUSG00000099964),,INSIDE: <{ ENSMUSG00000099964 26581 [ ID96 5820 ]> 43224 },
L1fli-ID97,intergenic,,Gm9931(ENSMUSG00000102134),,flanking: <{ ENSMUSG00000102134 } 987 [ ID97 ]>
L1fli-ID98,intergenic,,Gm17867(ENSMUSG00000100380),,flanking: [ ID98 ]> 523 <{ ENSMUSG00000100380 }
L1fli-ID99,intergenic,,NA,,over10k
L1fli-ID100,intergenic,,NA,,over10k
L1fli-ID101,intergenic,,NA,,over10k
L1fli-ID102,intergenic,,NA,,over10k
L1fli-ID103,INTRAGENIC,Pappa2(ENSMUSG00000073530),,INSIDE: <{ ENSMUSG00000073530 168666 [ ID103 5862 ]> 94236 },
L1fli-ID104,intergenic,,4930558K02Rik(ENSMUSG00000086277),,flanking: [ ID104 ]> 2934 <{ ENSMUSG00000086277 }
L1fli-ID105,INTRAGENIC,Dnm3(ENSMUSG00000040265),,INSIDE: <{ ENSMUSG00000040265 81837 [ ID105 5862 ]> 407883 },
L1fli-ID106,intergenic,,Fmo1(ENSMUSG00000040181);Fmo4(ENSMUSG00000026692),,flanking: [ ID106 ]> 3260 <{ ENSMUSG00000040181 };flanking: <{ ENSMUSG00000026692 } 6466 [ ID106 ]>
L1fli-ID107,INTRAGENIC,Mettl11b(ENSMUSG00000040113),,INSIDE: <{ ENSMUSG00000040113 8431 [ ID107 5904 ]> 8642 },
L1fli-ID108,INTRAGENIC,Kifap3(ENSMUSG00000026585),,INSIDE: { ENSMUSG00000026585 5013 [ ID108 5862 ]> 126652 }>,
L1fli-ID109,INTRAGENIC,Dcaf6(ENSMUSG00000026571),,INSIDE: <{ ENSMUSG00000026571 76770 [ ID109 5862 ]> 49146 },
L1fli-ID110,INTRAGENIC,Adcy10(ENSMUSG00000026567),,INSIDE: { ENSMUSG00000026567 42827 [ ID110 5862 ]> 42903 }>,
L1fli-ID111,intergenic,,NA,,over10k
L1fli-ID112,INTRAGENIC,Crp(ENSMUSG00000037942),,INSIDE: { ENSMUSG00000037942 19167 [ ID112 5862 ]> 109948 }>,
L1fli-ID113,INTRAGENIC,Crp(ENSMUSG00000037942),,INSIDE: { ENSMUSG00000037942 34309 [ ID113 5820 ]> 94848 }>,
L1fli-ID114,intergenic,,Spta1(ENSMUSG00000026532);Olfr419(ENSMUSG00000050788),,flanking: { ENSMUSG00000026532 }> 6579 [ ID114 ]>;flanking: <{ ENSMUSG00000050788 } 2968 [ ID114 ]>
L1fli-ID115,intergenic,,Pld5(ENSMUSG00000055214);Gm38101(ENSMUSG00000104157),,flanking: <{ ENSMUSG00000055214 } 7743 [ ID115 ]>;flanking: { ENSMUSG00000104157 }> 3286 [ ID115 ]>
L1fli-ID116,INTRAGENIC,Spata17(ENSMUSG00000026611),Gm15508(ENSMUSG00000089831),INSIDE: <{ ENSMUSG00000026611 18788 [ ID116 5862 ]> 146168 },flanking: [ ID116 ]> 3713 <{ ENSMUSG00000089831 }
L1fli-ID117,intergenic,,NA,,over10k
L1fli-ID118,intergenic,,NA,,over10k
L1fli-ID119,INTRAGENIC,Cd46(ENSMUSG00000016493),Gm37366(ENSMUSG00000104010),INSIDE: <{ ENSMUSG00000016493 12901 <[ ID119 5820 ] 36703 },flanking: { ENSMUSG00000104010 }> 5047 <[ ID119 ]
L1fli-ID120,INTRAGENIC,Hhat(ENSMUSG00000037375),,INSIDE: <{ ENSMUSG00000037375 74949 <[ ID120 5904 ] 193660 },
L1fli-ID121,intergenic,,NA,,over10k
L1fli-ID122,INTRAGENIC,Ush2a(ENSMUSG00000026609),,INSIDE: { ENSMUSG00000026609 73780 <[ ID122 5904 ] 623335 }>,
L1fli-ID123,intergenic,,NA,,over10k
L1fli-ID124,INTRAGENIC,Lyplal1(ENSMUSG00000039246),Gm38268(ENSMUSG00000103056),INSIDE: <{ ENSMUSG00000039246 16453 <[ ID124 5862 ] 7265 },flanking: <[ ID124 ] 2135 <{ ENSMUSG00000103056 }
